Sujet;ST_M;Target;Material;Slope;Trial;Duration;Amplitude;Impact_Speed
16;M;50;alu;0;3;0,068;154,7940726;2,615310392
16;M;50;alu;0;4;0,076;161,1071788;2,610963846
16;M;50;alu;0;5;0,068;147,4507755;2,362258931
16;M;50;alu;0;6;0,072;161,2800205;2,451766208
16;M;50;alu;0;7;0,076;176,9180409;2,759632632
16;M;50;alu;0;8;0,076;164,3165893;2,787285208
16;M;50;alu;0;9;0,072;154,7552157;2,640983411
16;M;50;alu;0;10;0,068;162,1400152;2,784937973
16;M;50;alu;m10;1;0,076;121,2339856;1,603479041
16;M;50;alu;m10;2;0,064;117,4186189;1,654965461
16;M;50;alu;m10;3;0,08;143,6184353;2,14628042
16;M;50;alu;m10;4;0,088;148,20673;1,89854123
16;M;50;alu;m10;5;0,08;147,8951058;1,930420952
16;M;50;alu;m10;6;0,072;142,6713062;2,409010926
16;M;50;alu;m10;7;0,064;147,2260388;2,288807389
16;M;50;alu;m10;8;0,072;146,5315832;1,887922836
16;M;50;alu;m10;9;0,072;157,3048955;2,271495078
16;M;50;alu;m10;10;0,064;124,7813674;1,856528077
16;M;50;alu;p10;1;0,072;138,2447765;2,202944743
16;M;50;alu;p10;2;0,06;145,1805119;2,735337201
16;M;50;alu;p10;3;0,064;145,0874007;2,700551336
16;M;50;alu;p10;4;0,072;168,6990291;2,583613238
16;M;50;alu;p10;5;0,072;166,5882725;2,775811094
16;M;50;alu;p10;6;0,072;180,5870098;3,03922736
16;M;50;alu;p10;7;0,072;180,4265562;3,246674247
16;M;50;alu;p10;8;0,076;177,7928527;2,736250014
16;M;50;alu;p10;9;0,068;175,4302005;3,077593134
16;M;50;alu;p10;10;0,06;169,6511643;3,6030153
16;M;50;balsa;0;1;0,076;193,4382474;3,399309228
16;M;50;balsa;0;2;0,076;167,2122028;2,7945429
16;M;50;balsa;0;3;0,08;199,3239314;2,940333582
16;M;50;balsa;0;4;0,088;213,8817799;3,117450611
16;M;50;balsa;0;5;0,088;201,652048;3,297596231
16;M;50;balsa;0;6;0,084;211,3553243;3,447261996
16;M;50;balsa;0;7;0,072;198,1820333;3,358225824
16;M;50;balsa;0;8;0,068;197,4708138;3,330295976
16;M;50;balsa;0;9;0,072;190,6059223;3,128839308
16;M;50;balsa;0;10;0,068;175,90825;3,043977355
16;M;50;balsa;m10;1;0,068;158,0362733;3,073517001
16;M;50;balsa;m10;2;0,072;133,0631284;1,934503913
16;M;50;balsa;m10;3;0,068;142,1029179;2,379730121
16;M;50;balsa;m10;4;0,08;154,7395595;2,083310073
16;M;50;balsa;m10;5;0,072;159,8778231;2,481551952
16;M;50;balsa;m10;6;0,068;147,3684588;2,382535781
16;M;50;balsa;m10;7;0,068;144,4642352;2,430533548
16;M;50;balsa;m10;8;0,072;144,3872638;2,38231008
16;M;50;balsa;m10;9;0,072;172,4601784;2,523233999
16;M;50;balsa;m10;10;0,076;167,644618;2,683001195
16;M;50;balsa;p10;1;0,064;157,6168459;2,972730229
16;M;50;balsa;p10;2;0,06;168,1619482;3,191294914
16;M;50;balsa;p10;3;0,06;170,577271;3,144612317
16;M;50;balsa;p10;4;0,088;206,6506206;3,2665097
16;M;50;balsa;p10;5;0,068;193,7434349;3,421642779
16;M;50;balsa;p10;6;0,076;205,2933543;3,012606267
16;M;50;balsa;p10;7;0,064;186,5824089;3,546768395
16;M;50;balsa;p10;8;0,06;167,7421413;3,356055818
16;M;50;balsa;p10;9;0,06;161,8632518;3,101077117
16;M;50;balsa;p10;10;0,064;170,1158204;3,107593525
19;M;25;alu;0;1;0,136;182,3118123;1,880544882
19;M;25;alu;0;2;0,12;159,2385314;1,619091219
19;M;25;alu;0;3;0,16;165,5232225;1,970967564
19;M;25;alu;0;4;0,168;159,7470849;1,618906181
19;M;25;alu;0;5;0,256;164,8478275;1,493724589
19;M;25;alu;0;6;0,22;170,2990803;1,214296608
19;M;25;alu;0;7;0,132;175,3591564;1,916845397
19;M;25;alu;0;8;0,192;179,4572298;2,329361219
19;M;25;alu;0;9;0,148;159,0077541;1,715164883
19;M;25;alu;0;10;0,2;177,7792739;1,840587442
19;M;25;alu;m10;1;0,156;146,0611136;1,334292578
19;M;25;alu;m10;2;0,084;105,1310735;1,035063401
19;M;25;alu;m10;3;0,12;114,7960263;1,197316433
19;M;25;alu;m10;4;0,164;122,8046378;1,331876277
19;M;25;alu;m10;5;0,212;131,0565196;1,307186287
19;M;25;alu;m10;6;0,212;157,0137205;1,118622887
19;M;25;alu;m10;7;0,288;153,2656125;1,667710442
19;M;25;alu;m10;8;0,208;131,1358886;1,342602842
19;M;25;alu;m10;9;0,216;170,817751;1,422995253
19;M;25;alu;m10;10;0,22;158,1665893;1,276334582
19;M;25;alu;p10;1;0,096;121,4174865;1,644937173
19;M;25;alu;p10;2;0,148;152,6833781;1,708554813
19;M;25;alu;p10;3;0,18;163,3929462;1,677731219
19;M;25;alu;p10;4;0,124;175,9270732;2,134954991
19;M;25;alu;p10;5;0,12;176,7304579;2,018084745
19;M;25;alu;p10;6;0,14;180,6757587;2,00240068
19;M;25;alu;p10;7;0,14;199,3407748;2,455918465
19;M;25;alu;p10;8;0,2;253,4118188;2,440216781
19;M;25;alu;p10;9;0,18;253,585425;2,16907765
19;M;25;alu;p10;10;0,176;233,0060948;2,233206675
19;M;25;balsa;0;1;0,128;144,2904942;1,410506586
19;M;25;balsa;0;2;0,136;138,2127806;1,637089814
19;M;25;balsa;0;3;0,14;172,5696617;1,555626039
19;M;25;balsa;0;4;0,152;197,7732738;2,503705305
19;M;25;balsa;0;5;0,164;189,7930703;2,016148361
19;M;25;balsa;0;6;0,2;224,1396446;1,86288716
19;M;25;balsa;0;7;0,148;194,8589075;2,320629301
19;M;25;balsa;0;8;0,18;180,8696519;1,683164566
19;M;25;balsa;0;9;0,14;171,4914832;2,043338319
19;M;25;balsa;0;10;0,116;164,3646154;1,828292988
19;M;25;balsa;m10;1;0,092;103,5241826;1,081569755
19;M;25;balsa;m10;2;0,08;103,1457949;0,911567289
19;M;25;balsa;m10;3;0,124;136,8003623;1,846185142
19;M;25;balsa;m10;4;0,236;142,7730015;2,013340061
19;M;25;balsa;m10;5;0,208;169,5936206;2,003470503
19;M;25;balsa;m10;6;0,216;138,1932923;1,159243337
19;M;25;balsa;m10;7;0,132;160,2264166;2,013764637
19;M;25;balsa;m10;8;0,168;174,9444989;1,580157768
19;M;25;balsa;m10;9;0,148;136,8547257;1,401516148
19;M;25;balsa;m10;10;0,284;158,1395487;1,421498932
19;M;25;balsa;p10;1;0,14;149,4651619;1,495333532
19;M;25;balsa;p10;2;0,104;140,749329;1,819235448
19;M;25;balsa;p10;3;0,12;158,4780766;1,98008057
19;M;25;balsa;p10;4;0,128;173,7776491;2,062794538
19;M;25;balsa;p10;5;0,136;183,6882804;2,192416895
19;M;25;balsa;p10;6;0,152;204,0974399;2,474356861
19;M;25;balsa;p10;7;0,132;218,5957184;2,414182694
19;M;25;balsa;p10;8;0,176;257,1001349;2,886023815
19;M;25;balsa;p10;9;0,124;201,9998341;2,452606578
19;M;25;balsa;p10;10;0,148;201,3210577;2,416969374
19;M;50;alu;0;1;0,096;161,4767344;2,637380212
19;M;50;alu;0;2;0,136;174,5852417;2,393205309
19;M;50;alu;0;3;0,124;192,2210868;2,479478105
19;M;50;alu;0;4;0,164;195,2521013;2,171349627
19;M;50;alu;0;5;0,144;207,4726428;3,059373291
19;M;50;alu;0;6;0,132;210,375152;2,434310824
19;M;50;alu;0;7;0,228;225,3202407;2,525473607
19;M;50;alu;0;8;0,168;203,1309902;2,77662368
19;M;50;alu;0;9;0,124;208,6621053;2,739213691
19;M;50;alu;0;10;0,144;208,5327957;2,381195738
19;M;50;alu;m10;1;0,108;177,8335692;1,956552382
19;M;50;alu;m10;2;0,152;216,6377655;2,265578551
19;M;50;alu;m10;3;0,128;210,1446781;2,72098429
19;M;50;alu;m10;4;0,152;215,3874683;2,276698314
19;M;50;alu;m10;5;0,152;173,6370722;2,060668973
19;M;50;alu;m10;6;0,152;169,5895609;2,24247177
19;M;50;alu;m10;7;0,116;161,3340753;1,635071772
19;M;50;alu;m10;8;0,128;179,9255454;2,106026396
19;M;50;alu;m10;9;0,128;168,9841122;1,869010908
19;M;50;alu;m10;10;0,128;179,8018842;2,004867665
19;M;50;alu;p10;1;0,128;179,8495384;2,528493301
19;M;50;alu;p10;2;0,104;231,7057644;3,385856363
19;M;50;alu;p10;3;0,148;256,1149262;2,899247045
19;M;50;alu;p10;4;0,16;231,8264495;3,027804765
19;M;50;alu;p10;5;0,152;245,1538796;2,988417343
19;M;50;alu;p10;6;0,12;229,6923223;2,996646345
19;M;50;alu;p10;7;0,108;204,4235966;2,856983106
19;M;50;alu;p10;8;0,124;227,4653145;2,490971544
19;M;50;alu;p10;9;0,128;204,6632437;2,461412893
19;M;50;alu;p10;10;0,104;203,6506485;2,741435737
19;M;50;balsa;0;1;0,124;212,3315424;2,757174795
19;M;50;balsa;0;2;0,128;252,8317268;2,969809866
19;M;50;balsa;0;3;0,132;236,2629648;2,678933988
19;M;50;balsa;0;4;0,124;239,6537375;3,129206341
19;M;50;balsa;0;5;0,148;272,2721504;2,919382279
19;M;50;balsa;0;6;0,124;222,8511468;3,199883004
19;M;50;balsa;0;7;0,124;233,7691241;2,901997258
